region,group,marginal_r2,ci_lo,ci_hi
low_cleaned,halo_static,0.5615476120177676,0.5362122758476113,0.5936139203026379
low_cleaned,assembly_timing,0.31818605803926736,0.29593975704962555,0.35229475162033247
low_cleaned,accretion_windows,0.3155657569991186,0.28972101688543694,0.3405087896512077
low_cleaned,peak_mass_state,0.031967525732761376,0.01803937370744695,0.04689709175849277
low_cleaned,merger_counts,0.09474859599675647,0.08130887978378316,0.10895011399078264
low_cleaned,major_merger_timing,0.015555949783610412,0.008260026878705258,0.026047980447276808
low_cleaned,l3_density,0.00014398703797199874,-0.0009757166551755882,0.002241363494441895
original,halo_static,0.40736347976287346,0.3876175119550793,0.4301012783342583
original,assembly_timing,0.2731590840914552,0.25092529335992003,0.2921332245088241
original,accretion_windows,0.28367790184691277,0.263659294432704,0.2988350148432995
original,peak_mass_state,0.011126722551576873,0.0057998656598414996,0.01714948622851678
original,merger_counts,0.05628683730964357,0.04404098584257415,0.07374930172897673
original,major_merger_timing,0.010273121814312447,0.005945328914857882,0.015447585776540314
original,l3_density,-0.00047825696381226246,-0.001000956618428675,0.0005008642272794723
upper_transition,halo_static,0.34578112494566415,0.24971889360632898,0.413242135879485
upper_transition,assembly_timing,0.4493515531007476,0.3702232573557983,0.49816947239999426
upper_transition,accretion_windows,0.3748900211289382,0.2675716628010993,0.4835003386373639
upper_transition,peak_mass_state,0.03465858338004437,0.007424035450642737,0.09110624636516063
upper_transition,merger_counts,0.0032205313010391645,-0.00860088675522993,0.022990759259178886
upper_transition,major_merger_timing,0.005523974404000165,-0.0007785608968699152,0.019458923700245295
upper_transition,l3_density,0.0014597723532350886,-0.009326593777924316,0.013280583502160008
high,halo_static,0.4998603349180538,0.4372548319240157,0.553016454863363
high,assembly_timing,0.2779892126336741,0.2428916668220695,0.36879860408824294
high,accretion_windows,0.2064563070332991,0.1290610777785047,0.32211101599326475
high,peak_mass_state,0.05467053642697156,0.01898321129358831,0.1010189211211428
high,merger_counts,0.08027370540514481,0.046587818004931135,0.17998100957650703
high,major_merger_timing,0.0010831819078211402,-0.007137761259927774,0.01731389025166112
high,l3_density,-0.008638640451721552,-0.013374913389727839,0.005684763378359853
