region,log_mstar_lo,log_mstar_hi,component,n,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
below_lower,9.0,9.55,l3_baseline_only,3132,0.15106631222454148,0.15106631222454148,0.0,0.0,0.0
below_lower,9.0,9.55,gas_mass_only,3132,0.15106631222454148,0.15614587980909697,0.005079567584555494,-0.21264771131852553,0.008344170457187319
below_lower,9.0,9.55,all_internal,3132,0.15106631222454148,0.09642040785412236,-0.05464590437041912,-0.42663271578270345,0.10677090220522789
below_lower,9.0,9.55,sfr_only,3132,0.15106631222454148,0.1503281342700103,-0.0007381779545311828,-0.0012514331903679503,0.0015947110674087587
below_lower,9.0,9.55,gas_fraction_only,3132,0.15106631222454148,0.1695646150097181,0.018498302785176612,-0.11964877487477596,0.06644140644569342
below_lower,9.0,9.55,internal_excluding_gas,3132,0.15106631222454148,0.1931152550316591,0.04204894280711763,0.031384889177542175,0.056515794441554426
onset,9.55,9.85,l3_baseline_only,1289,0.20817948373040984,0.20817948373040984,0.0,0.0,0.0
onset,9.55,9.85,gas_mass_only,1289,0.20817948373040984,0.26919618631277487,0.06101670258236502,0.03888240208997807,0.08450005032735032
onset,9.55,9.85,all_internal,1289,0.20817948373040984,0.29831690853929993,0.09013742480889009,0.06613622085366949,0.1207375953144985
onset,9.55,9.85,sfr_only,1289,0.20817948373040984,0.20690037888367724,-0.0012791048467326038,-0.0028528519976812015,0.003252591634747755
onset,9.55,9.85,gas_fraction_only,1289,0.20817948373040984,0.29261893854788507,0.08443945481747522,0.058590939054532165,0.11929765850854915
onset,9.55,9.85,internal_excluding_gas,1289,0.20817948373040984,0.23609428756111064,0.0279148038307008,0.014010042180032574,0.045782356637061455
core,9.85,10.55,l3_baseline_only,2047,0.1547775542374531,0.1547775542374531,0.0,0.0,0.0
core,9.85,10.55,gas_mass_only,2047,0.1547775542374531,0.20850281940560106,0.05372526516814796,0.03254668138293494,0.06451680993971659
core,9.85,10.55,all_internal,2047,0.1547775542374531,0.3170542518632131,0.16227669762576002,0.12925599532798288,0.1824489904739731
core,9.85,10.55,sfr_only,2047,0.1547775542374531,0.167525168197217,0.012747613959763898,0.0052071618621360154,0.01865509065083119
core,9.85,10.55,gas_fraction_only,2047,0.1547775542374531,0.29517992298560763,0.14040236874815454,0.11235259414576705,0.15339306800298624
core,9.85,10.55,internal_excluding_gas,2047,0.1547775542374531,0.30266238042388627,0.14788482618643317,0.11959676643359929,0.16522359458183575
