log_mstar_lo,log_mstar_hi,window_width,source,n,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi,dominant_internal_feature,gas_feature_rank,gas_leave_one_out_r2_drop
9.0,9.6,0.5999999999999996,width_grid_0.6,3361,0.1479436951626119,0.0758558247781097,-0.0720878703845022,-0.2334637395900686,0.11332151419287852,int_metallicity,4,-0.11487627391603189
9.0,9.8,0.8000000000000007,requested;width_grid_0.8,4247,0.1477199157363703,0.13623404083415314,-0.011485874902217169,-0.1793523723516974,0.13444771118108398,int_log_rstar,4,-0.0684760465759236
9.0,10.0,1.0,width_grid_1.0,4916,0.14487118342532668,0.07644402825929582,-0.06842715516603086,-0.13199810229869616,0.13866728434147033,int_metallicity,6,-0.13631823061164627
9.0,10.2,1.1999999999999993,width_grid_1.2,5563,0.14413441241874633,0.15448252017057826,0.010348107751831925,-0.0746693167784064,0.13646283669429737,int_metallicity,4,-0.06466441182241298
9.1,9.7,0.5999999999999996,width_grid_0.6,3152,0.1452563951175676,0.0816789041139323,-0.0635774910036353,-0.4925869394140729,0.1225779891114759,int_log_rstar,4,-0.1163395537689717
9.1,9.9,0.8000000000000007,requested;width_grid_0.8,3931,0.14473798655262693,0.10613385084137288,-0.03860413571125405,-0.4146117641932166,0.13320666257672045,int_metallicity,4,-0.105124669597197
9.1,10.1,1.0,width_grid_1.0,4600,0.1392123403279794,0.0413183177505849,-0.09789402257739452,-0.4113836445031334,0.1511284049375118,int_metallicity,4,-0.17897196813427627
9.1,10.3,1.200000000000001,width_grid_1.2,5142,0.13764378314446002,0.2029717305576181,0.06532794741315809,-0.2275947576310619,0.13483504470067545,int_log_mgas,1,-0.019899821732930617
9.2,9.8,0.6000000000000014,width_grid_0.6,2979,0.1337899115677363,-0.2502038388025249,-0.3839937503702612,-0.38413763408796,0.12871998087378475,int_log_mstar,6,-0.4351647846133708
9.2,10.0,0.8000000000000007,requested;width_grid_0.8,3648,0.12621033661588582,-0.058010938327828776,-0.1842212749437146,-0.39502922667919727,0.14564974825347854,int_log_mstar,6,-0.2532070294425479
9.2,10.2,1.0,width_grid_1.0,4295,0.12480755324517463,0.026374350595516648,-0.09843320264965799,-0.22815315883452364,0.15097970340957928,int_log_mstar,6,-0.17614041626492688
9.2,10.4,1.200000000000001,width_grid_1.2,4786,0.1399548058397308,0.09872664514684774,-0.041228160692883056,-0.19655238762196706,0.1531432143068704,int_metallicity,6,-0.1296160978428269
9.3,9.9,0.5999999999999996,width_grid_0.6,2741,0.1734094364695476,0.29753007436783363,0.12412063789828603,0.10772650637294633,0.14410512576380827,int_log_mgas,1,0.06894701505939854
9.3,10.1,0.7999999999999989,requested;width_grid_0.8,3410,0.15233873990021604,0.2888258204366263,0.13648708053641026,0.12103572874173,0.1566820358757935,int_log_mgas,1,0.061892663561531946
9.3,10.3,1.0,width_grid_1.0,3952,0.14359561996830067,0.2811356038116412,0.13753998384334054,0.12025071961700073,0.1571264260138367,int_log_mgas,1,0.0503757429979973
9.3,10.5,1.1999999999999993,width_grid_1.2,4463,0.176716622825899,0.3131453483289139,0.13642872550301488,0.11997483900736511,0.15358516314592774,int_log_mgas,1,0.03657260370968041
9.4,10.0,0.5999999999999996,width_grid_0.6,2529,0.180177182345275,0.30400495603482003,0.12382777368954503,0.10156264910287446,0.1387108483383111,int_log_mgas,1,0.060636802988779576
9.4,10.2,0.7999999999999989,requested;width_grid_0.8,3176,0.15956537989142536,0.29218357897066455,0.1326181990792392,0.11426912281768974,0.15656786043121346,int_log_mgas,1,0.04849489716309313
9.4,10.4,1.0,width_grid_1.0,3667,0.16162845668686246,0.30405290353826336,0.1424244468514009,0.12512461636875274,0.16973538084738737,int_log_mgas,1,0.03662508013750043
9.4,10.6,1.1999999999999993,width_grid_1.2,4214,0.1984569320037734,0.33972374732272537,0.14126681531895197,0.12009476441803114,0.1524120566609189,int_log_mgas,1,0.02160984945389527
9.5,10.1,0.5999999999999996,width_grid_0.6,2372,0.17023407052809694,0.2968822347621064,0.12664816423400946,0.10621119316479323,0.15000165755805464,int_log_mgas,1,0.05559524330945187
9.5,10.3,0.8000000000000007,requested;width_grid_0.8,2914,0.1491606057502065,0.28497849476089326,0.13581788901068675,0.11440560873105807,0.1549194584038818,int_log_mgas,1,0.040711201940357794
9.5,10.5,1.0,width_grid_1.0,3425,0.1849471867271941,0.3204083520488022,0.1354611653216081,0.12015507403739835,0.16050412119908852,int_log_mgas,1,0.025380606052745835
9.5,10.7,1.1999999999999993,width_grid_1.2,3894,0.21307436970452223,0.3524517308072411,0.1393773611027189,0.12283575381280191,0.15884507614362728,int_log_mgas,1,0.012897192072831964
9.55,10.55,1.0,requested,3336,0.1902099332201731,0.32976674723793986,0.13955681401776676,0.11680316309847641,0.1623426647685192,int_log_mgas,1,0.02050898957362901
9.6,10.2,0.5999999999999996,width_grid_0.6,2202,0.1428890552801132,0.27820943762795,0.13532038234783678,0.10583584904209775,0.15787184749168928,int_log_mgas,1,0.048343638019127055
9.6,10.4,0.8000000000000007,width_grid_0.8,2693,0.149192907568171,0.2949374784267777,0.1457445708586067,0.12278154864185763,0.17162626886020013,int_log_mgas,1,0.034373971929982705
9.6,10.6,1.0,requested;width_grid_1.0,3240,0.1961623152963262,0.34586216366787587,0.14969984837154968,0.1283747332310191,0.17132126687236576,int_log_mgas,1,0.018853876549838666
9.6,10.8,1.200000000000001,width_grid_1.2,3605,0.21181488833203357,0.3576012033522155,0.14578631502018194,0.12457476202556114,0.16888606189675373,int_log_mgas,1,0.0076311338004536045
9.7,10.3,0.6000000000000014,width_grid_0.6,1990,0.13248172088061433,0.2760638922524689,0.14358217137185458,0.11635186967496411,0.1693047351993086,int_log_mgas,1,0.0401518782979392
9.7,10.5,0.8000000000000007,width_grid_0.8,2501,0.16771524576817826,0.32110110408992154,0.15338585832174328,0.1278012850708949,0.18280737950046486,int_log_mgas,1,0.02336046043499934
9.7,10.7,1.0,requested;width_grid_1.0,2970,0.19637796142364242,0.35208749118805305,0.15570952976441063,0.1371527532150977,0.17750851556514208,int_log_mgas,1,0.01050203487095136
9.7,10.9,1.200000000000001,width_grid_1.2,3260,0.19418112209880128,0.3498170687564913,0.15563594665769004,0.12645785159717407,0.16817938879662045,int_log_mstar,2,0.007019265922670215
