step,removed_group,removed_groups,removed_features,internal_marginal_r2,cumulative_recovery_r2,cumulative_recovery_fraction,cumulative_published_decomposition_fraction,step_increment_r2,n
0,,,,0.1354611653216081,0.0,0.0,0.0,0.0,
1,halfmass_epoch,halfmass_epoch,halo_halfmass_snap,0.15749364805335916,0.02203248273175107,0.12746447265439906,0.16264796393447647,0.02203248273175107,3425.0
2,earlier_accretion_3_4gyr,halfmass_epoch;earlier_accretion_3_4gyr,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16,0.21169983493298877,0.07623866961138068,0.44106340334870037,0.5628083106355757,0.05420618687962961,3429.0
3,recent_accretion_1_2gyr,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8,0.25410737048916293,0.11864620516755484,0.6864036231529171,0.8758687767513911,0.04240753555617416,3430.0
4,merger_counts,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers,0.29893580341015874,0.16347463808855064,0.9457494550215756,1.2068007661120717,0.04482843292099581,3430.0
5,peak_mass_state,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts;peak_mass_state,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers;halo_log_peak_mass_ratio,0.3038732823205261,0.16841211699891798,0.974314240625389,1.2432501713615016,0.004937478910367332,3430.0
6,major_merger_timing,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts;peak_mass_state;major_merger_timing,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers;halo_log_peak_mass_ratio;halo_last_major_snap,0.3069178509765298,0.1714566856549217,0.9919279768040344,1.2657257542990572,0.003044568656003721,3430.0
7,static_halo_structure,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts;peak_mass_state;major_merger_timing;static_halo_structure,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers;halo_log_peak_mass_ratio;halo_last_major_snap;geom_log_mhalo;geom_log_msub,0.309062852251488,0.1736016869298799,1.0043374478420644,1.2815605603105484,0.0021450012749582026,3430.0
8,formation_epoch,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts;peak_mass_state;major_merger_timing;static_halo_structure;formation_epoch,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers;halo_log_peak_mass_ratio;halo_last_major_snap;geom_log_mhalo;geom_log_msub;halo_formation_snap,0.31016268791580687,0.17470152259419877,1.0107003246302022,1.2896797556659676,0.0010998356643188711,3430.0
9,environment,halfmass_epoch;earlier_accretion_3_4gyr;recent_accretion_1_2gyr;merger_counts;peak_mass_state;major_merger_timing;static_halo_structure;formation_epoch;environment,halo_halfmass_snap;halo_delta_logmass_sl12;halo_delta_logmass_sl16;halo_delta_logmass_sl4;halo_delta_logmass_sl8;halo_n_mergers;halo_n_major_mergers;halo_log_peak_mass_ratio;halo_last_major_snap;geom_log_mhalo;geom_log_msub;halo_formation_snap;geom_log_rho,0.3093830217850491,0.17392185646344102,1.0061897239224429,1.2839241124976346,-0.0007796661307577502,3430.0
