sample_definition,region,log_mstar_lo,log_mstar_hi,n,pearson_residual_gas_growth,pearson_ci_lo,pearson_ci_hi,spearman_residual_gas_growth
full_sample,low,9.0,9.3,1857,0.08089989471050588,0.05081382388928181,0.11587881580558429,0.22864938246256897
full_sample,pre_edge,9.3,9.55,1275,0.32458500251632333,0.2738023336154744,0.36891550101278453,0.39141398734560146
full_sample,onset,9.55,9.85,1289,0.28230628489501286,0.22729750503787324,0.33040534982940234,0.3881532275623681
full_sample,core,9.85,10.55,2047,0.24799095140618455,0.21169862162122907,0.286554178917011,0.30581486981565537
full_sample,upper_transition,10.55,10.75,418,0.14400558662271817,0.05589229220986363,0.23950821789033602,0.21905407238311625
full_sample,high,10.75,11.2,357,0.04726041868077862,-0.036013755506014454,0.15606702310114665,0.18667953026418024
gas_particles_ge_100,low,9.0,9.3,1851,0.27668157715413294,0.22550779991393538,0.3224165946010903,0.3569605368186253
gas_particles_ge_100,pre_edge,9.3,9.55,1275,0.32458500251632333,0.26542409199981065,0.3818395186263878,0.39141398734560146
gas_particles_ge_100,onset,9.55,9.85,1289,0.28230628489501286,0.23779671028790908,0.34074080620958824,0.3881532275623681
gas_particles_ge_100,core,9.85,10.55,2047,0.24799095140618455,0.20545159878925504,0.2870493035410925,0.30581486981565537
gas_particles_ge_100,upper_transition,10.55,10.75,418,0.14400558662271817,0.05724521929232493,0.24433275834434712,0.21905407238311625
gas_particles_ge_100,high,10.75,11.2,357,0.04726041868077862,-0.049715756168016614,0.14533885232604304,0.18667953026418024
gas_particles_ge_300,low,9.0,9.3,1844,0.2733509458002814,0.22534325007198594,0.31380060126199766,0.35382336052655167
gas_particles_ge_300,pre_edge,9.3,9.55,1275,0.32458500251632333,0.2626159314230804,0.38242628690287545,0.39141398734560146
gas_particles_ge_300,onset,9.55,9.85,1289,0.28230628489501286,0.22463199176447732,0.3342706790214414,0.3881532275623681
gas_particles_ge_300,core,9.85,10.55,2046,0.25013348269445734,0.2118940452087237,0.29452227982298745,0.30686877157983855
gas_particles_ge_300,upper_transition,10.55,10.75,418,0.14400558662271817,0.06559202189283128,0.23764767716795798,0.21905407238311625
gas_particles_ge_300,high,10.75,11.2,357,0.04726041868077862,-0.03606311965691121,0.1629132843216832,0.18667953026418024
log_sfr_gt_minus5,low,9.0,9.3,1851,0.27668157715413294,0.23208161081719209,0.31832102276610597,0.3569605368186253
log_sfr_gt_minus5,pre_edge,9.3,9.55,1275,0.32458500251632333,0.28051630268003946,0.3679671001728186,0.39141398734560146
log_sfr_gt_minus5,onset,9.55,9.85,1289,0.28230628489501286,0.2147100027633156,0.332324092091777,0.3881532275623681
log_sfr_gt_minus5,core,9.85,10.55,1965,0.2663413234854402,0.22694520687516842,0.3068946843787732,0.3135003443040638
log_sfr_gt_minus5,upper_transition,10.55,10.75,287,0.11075599739707677,-0.007697747121518776,0.22105837755645935,0.17685820277283693
log_sfr_gt_minus5,high,10.75,11.2,251,-0.011447872279610374,-0.12914428050216492,0.1333015280005367,0.13789489660405996
gas_particles_ge_100_and_log_sfr_gt_minus5,low,9.0,9.3,1851,0.27668157715413294,0.23004723876888802,0.31704121428178844,0.3569605368186253
gas_particles_ge_100_and_log_sfr_gt_minus5,pre_edge,9.3,9.55,1275,0.32458500251632333,0.27910115260597396,0.37949260199650103,0.39141398734560146
gas_particles_ge_100_and_log_sfr_gt_minus5,onset,9.55,9.85,1289,0.28230628489501286,0.22798630011009055,0.3375317668484176,0.3881532275623681
gas_particles_ge_100_and_log_sfr_gt_minus5,core,9.85,10.55,1965,0.2663413234854402,0.22522886659030336,0.30876358988840524,0.3135003443040638
gas_particles_ge_100_and_log_sfr_gt_minus5,upper_transition,10.55,10.75,287,0.11075599739707677,-0.018145519852123367,0.24061680236576777,0.17685820277283693
gas_particles_ge_100_and_log_sfr_gt_minus5,high,10.75,11.2,251,-0.011447872279610374,-0.11706430959086735,0.1313899743724686,0.13789489660405996
gas_particles_ge_300_and_log_sfr_gt_minus5,low,9.0,9.3,1844,0.2733509458002814,0.21834985273945412,0.3114166040970915,0.35382336052655167
gas_particles_ge_300_and_log_sfr_gt_minus5,pre_edge,9.3,9.55,1275,0.32458500251632333,0.27756714478680883,0.3852211181965018,0.39141398734560146
gas_particles_ge_300_and_log_sfr_gt_minus5,onset,9.55,9.85,1289,0.28230628489501286,0.21429257748315655,0.3261872201514102,0.3881532275623681
gas_particles_ge_300_and_log_sfr_gt_minus5,core,9.85,10.55,1965,0.2663413234854402,0.22816229396856744,0.30518452689307535,0.3135003443040638
gas_particles_ge_300_and_log_sfr_gt_minus5,upper_transition,10.55,10.75,287,0.11075599739707677,-0.013591328198193899,0.2523177197722229,0.17685820277283693
gas_particles_ge_300_and_log_sfr_gt_minus5,high,10.75,11.2,251,-0.011447872279610374,-0.1333362534399607,0.09654199202235694,0.13789489660405996
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,low,9.0,9.3,1851,0.27668157715413294,0.23270452091037555,0.3163074678205078,0.3569605368186253
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,pre_edge,9.3,9.55,1275,0.32458500251632333,0.25592610187584725,0.3738054018326535,0.39141398734560146
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,onset,9.55,9.85,1289,0.28230628489501286,0.23112913561614418,0.3296220800813966,0.3881532275623681
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,core,9.85,10.55,1965,0.2663413234854402,0.22783944677311535,0.30578921503331286,0.3135003443040638
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,upper_transition,10.55,10.75,287,0.11075599739707677,0.014452917151890203,0.22335871405869961,0.17685820277283693
gas_particles_ge_100_and_log_sfr_gt_minus5_and_finite_gas_mass,high,10.75,11.2,251,-0.011447872279610374,-0.11941323422341914,0.11373276274055298,0.13789489660405996
best_viable_clean_sample,low,9.0,9.3,280,0.23034859053021337,0.13952592363639912,0.3335600890420851,0.28652661385987066
best_viable_clean_sample,pre_edge,9.3,9.55,424,0.3196795631264079,0.22975818310421994,0.38563514722698145,0.31545957604237995
best_viable_clean_sample,onset,9.55,9.85,200,0.18751311674807242,0.054011367813948406,0.32883733051970154,0.2898372459311483
star_particles_ge_100,low,9.0,9.3,579,0.021608162765574944,-0.02891291020512722,0.0786336010375747,0.16277349519298837
star_particles_ge_100,pre_edge,9.3,9.55,1275,0.32458500251632333,0.26613398043669356,0.3762987223483354,0.39141398734560146
star_particles_ge_100,onset,9.55,9.85,1289,0.28230628489501286,0.2263039551649018,0.3332141062813898,0.3881532275623681
star_particles_ge_100,core,9.85,10.55,2047,0.24799095140618455,0.20833354207251517,0.28186566909802063,0.30581486981565537
star_particles_ge_100,upper_transition,10.55,10.75,418,0.14400558662271817,0.047000310132052914,0.23545227502202584,0.21905407238311625
star_particles_ge_100,high,10.75,11.2,357,0.04726041868077862,-0.046365163583818696,0.14917301108846379,0.18667953026418024
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,low,9.0,9.3,576,0.2284666461788773,0.14747396503063592,0.3170585365263648,0.3300209102554442
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,pre_edge,9.3,9.55,1275,0.32458500251632333,0.27941267944263637,0.3748625566832021,0.39141398734560146
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,onset,9.55,9.85,1289,0.28230628489501286,0.23477370176795562,0.32904335456742656,0.3881532275623681
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,core,9.85,10.55,1965,0.2663413234854402,0.2253657222295569,0.30714394246947513,0.3135003443040638
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,upper_transition,10.55,10.75,287,0.11075599739707677,-0.008455265016774184,0.23241344194772875,0.17685820277283693
star_particles_ge_100_and_gas_particles_ge_100_and_log_sfr_gt_minus5,high,10.75,11.2,251,-0.011447872279610374,-0.14021025411671614,0.10280471901511572,0.13789489660405996
